compound,icsd,sg,sgname,T11,T22,T33,T12,T13,T23,kappaLmin,kappaLmax,type
Ag1Cl1,icsd_056545,63,orthorhombic,1.57,1.88,1.59,0.00,0.00,0.00,1.57,1.88,vdW
Ag1F2,icsd_006277,61,orthorhombic,9.88,3.31,6.06,0.00,0.00,0.00,3.31,9.88,vdW
Ag1F2,icsd_020453,14,monoclinic,9.57,7.82,8.77,0.00,-0.60,0.00,7.82,9.89,vdW
Ag1I1,icsd_001899,186,hexagonal,1.20,1.20,1.42,0.00,0.00,0.00,1.20,1.42,vdW
Ag1I1,icsd_028230,85,tetragonal,0.68,0.68,0.55,0.00,0.00,0.00,0.55,0.68,vdW
Ag2F1,icsd_068441,164,trigonal,10.48,10.48,32.61,0.00,0.00,0.00,10.48,32.61,vdW
Al1Cl3,icsd_039566,12,monoclinic,19.34,19.86,3.19,0.00,5.47,0.00,1.53,20.99,vdW
Al2Te3,icsd_406353,14,monoclinic,2.06,1.28,0.94,0.00,0.88,0.00,0.45,2.55,vdW
As1Ba2,icsd_087345,139,tetragonal,0.92,0.92,1.24,0.00,0.00,0.00,0.92,1.24,vdW
As1Ca2,icsd_042357,139,tetragonal,2.31,2.31,3.33,0.00,0.00,0.00,2.31,3.33,vdW
As1Ge1,icsd_610598,12,monoclinic,4.20,12.65,8.62,0.00,4.36,0.00,1.53,12.65,vdW
As1Sr2,icsd_044066,139,tetragonal,1.39,1.39,1.88,0.00,0.00,0.00,1.39,1.88,vdW
As2Ge1,icsd_023872,55,orthorhombic,1.82,1.79,6.46,0.00,0.00,0.00,1.79,6.46,vdW
As2Hf3,icsd_610637,62,orthorhombic,4.32,4.31,4.20,0.00,0.00,0.00,4.20,4.32,vdW
As2O3,icsd_100434,14,monoclinic,1.88,2.04,3.54,0.00,0.72,0.00,1.61,3.81,vdW
As2O4,icsd_010436,62,orthorhombic,2.05,11.20,2.79,0.00,0.00,0.00,2.05,11.20,vdW
As2Se3,icsd_043226,14,monoclinic,5.39,1.48,1.76,0.00,2.82,0.00,0.23,6.92,vdW
As2Si1,icsd_611405,55,orthorhombic,1.87,2.21,9.85,0.00,0.00,0.00,1.87,9.85,vdW
As2Ta1,icsd_107966,5,monoclinic,11.55,7.13,8.82,0.00,4.87,0.00,5.14,15.23,vdW
As2Zr3,icsd_611611,62,orthorhombic,7.49,5.77,6.76,0.00,0.00,0.00,5.77,7.49,vdW
Au1Br1,icsd_200286,141,tetragonal,0.61,0.61,1.55,0.00,0.00,0.00,0.61,1.55,vdW
Au1Br1,icsd_200287,138,tetragonal,1.25,1.25,0.86,0.00,0.00,0.00,0.86,1.25,vdW
Au1I1,icsd_024619,138,tetragonal,1.05,1.05,0.99,0.00,0.00,0.00,0.99,1.05,vdW
Au1Te2,icsd_038213,28,orthorhombic,2.01,4.79,1.78,0.00,0.00,0.00,1.78,4.79,vdW
Au1Te2,icsd_659331,164,trigonal,4.00,4.00,3.18,0.00,0.00,0.00,3.18,4.00,vdW
Au3F8,icsd_089620,14,monoclinic,1.26,2.16,1.35,0.00,0.78,0.00,0.52,2.16,vdW
B1N1,icsd_027986,164,trigonal,121.04,121.04,201.30,0.00,0.00,0.00,121.04,201.30,vdW
B1N1,icsd_077374,186,hexagonal,5156.46,5156.46,5.73,0.00,0.00,0.00,5.73,5156.46,vdW
B1N1,icsd_162870,194,hexagonal,5140.41,5140.41,5.87,0.00,0.00,0.00,5.87,5140.41,vdW
